,名称/规格,规格,批准文号,月售,评分,currentPrice,originalPrice
521,[云南白药]牙膏(留兰香型)120g,,,,评分4.5,25,
522,白内停 吡诺克辛钠滴眼液 15ml:0.8mg,15ml:0.8mg,国药准字H42021940,,,17.3,
523,同仁堂 耳聋左慈丸 9g*10粒,9g*10s大蜜丸,国药准字Z11020011,,,18.4,
524,同仁堂 黄连羊肝丸 9g*10粒,9g*10s大蜜丸,国药准字Z11020230,,评分4,15.2,
525,过敏性结膜炎组包([润洁]萘敏维滴眼液+[汤臣倍健]葡萄籽维生素C加E片),,,,,199,
526,马应龙八宝眼膏 5g,5g,国药准字Z42021455,,,63.8,
527,帕坦洛 盐酸奥洛他定滴眼液 0.1%(5ml),0.1%(5ml),进口药品注册证号H20181146,,,108,
528,[海昌]隐形眼镜多功能护理液(水感觉 套装)500ml+120ml(保湿型)(赠润滑液15ml),,,,,78.8,
529,[润洁]复方硫酸软骨素滴眼液+萘敏维滴眼液10ml+10ml,,,,,32.8,
530,【2盒装】[清快]口腔喷剂(清香薄荷)25mlx2盒,,,,,38,
531,[海昌]隐形眼镜多功能护理液(逸护)120mlx4瓶(赠镜片护理盒),,,,,86,
532,[博乐纯]隐形眼镜多功能护理液300mlx2(赠便携旅行装120ml+镜片伴侣盒),,,,,138,
533,仁和 鼻炎宁颗粒 15g*10袋/盒,15g*10袋/盒,国药准字Z36021785,,,28,
534,【处方药】沃丽汀 卵磷脂络合碘片 1.5mg*60片,1.5mg*60片,H20160151,,,128,
535,王老吉 藿胆丸 36g,36g,国药准字Z44023699,,,10.4,
536,乐敦莹 复方硫酸软骨素滴眼液 13ml,13mL,国药准字H20020301,,评分4,20,26.3
537,【处方药】五景 马来酸噻吗洛尔滴眼液 5ml:25mg,5mL,国药准字H42021078,,,25,
538,【处方药】同仁堂 石斛明目丸 6g*10袋,6g*10袋,国药准字Z11020070,,,35.5,
539,苏为坦 曲伏前列素滴眼液 2.5ml:0.1mg,2.5ml:0.1mg,进口药品注册证号H20181024,,,198,
540,三金 舒咽清喷雾剂 20ml/瓶,每瓶装20ml,国药准字Z20040137,,,48,
541,迪可罗 氧氟沙星眼膏 3.5g:10.5mg/支,3.5g,国药准字H10940177,,,20.9,
542,雷诺考特 布地奈德鼻喷雾剂 120喷/支/盒,120喷/支/盒,国药准字J20180023,,,78,
543,同仁堂 小儿鼻炎片 0.3g*30片/瓶,0.3g*30片,国药准字Z11020402,,,16.4,
544,同仁堂 八味锡类散 1g/瓶,1g/瓶,国药准字Z11020078,,,4.8,
545,海昌隐形眼镜多功能护理液保湿型120ml*4瓶/组,,,,,75,
546,[爱春]谷固醇达克罗宁膜5mgx12格x1袋,,,,,26.4,
547,美开朗 盐酸卡替洛尔滴眼液 5ml(2%),5ml(2%),国药准字H10970025,,,28.5,
548,[济川]蒲地蓝可炎宁功效型牙膏(留兰香型)120g,,,,,70.1,
549,[舒适达]劲速护理牙膏(薄荷香型)+毛毡手拎包(赠品)120gx2盒(牙膏)+1个(手拎包),,,,,53,
550,[辅仁]齿痛消炎灵颗粒(无蔗糖)+[远大医药]甲硝唑口颊片10gx6袋x2盒+3mgx10片x2板,,,,,58,
551,[西可韦]盐酸西替利嗪片+[辅舒良]丙酸氟替卡松鼻喷雾剂10mgx6片x2板+120喷,,,,,88,
552,[G·U·M]牙周护理牙刷(颜色随机)#588(4列中毛),,,,,31.5,
553,[G·U·M]牙周护理牙刷(颜色随机)#388(3列中毛),,,,,31.5,
554,[口立健]生物抑菌漱口水(薄荷味)12mlx16袋,,,,,74.8,
555,[G·U·M]米菲专业儿童牙刷(1-5岁)(颜色随机)#76(软毛),,,,,36.8,
556,[G·U·M]米菲专业儿童牙刷(6-12岁)(颜色随机)#87(软毛),,,,,36.8,
557,[高露洁]防蛀牙膏(冰爽 冷萃龙井)120g,,,,,16.3,
558,卢隆平 麝珠明目滴眼液 5ml:0.3g,5mL,国药准字Z19990015,,,46,
559,扶他林 双氯芬酸二乙胺乳胶剂 50g,50g,国药准字H20130312,月售2份,评分4,49.3,61.9
560,扶他林 双氯芬酸二乙胺乳胶剂 20g/支,20克,进口药品注册证号H20181225,月售8份,评分4,24,25.7
561,司百得 精氨酸布洛芬颗粒 0.4g*12袋,0.4g*12袋,国药准字H20058760,,,49.1,
562,天天乐 元胡止痛片 24片,12s*2板糖衣,国药准字Z45021568,月售7份,评分4.3,7.2,
563,英太青 双氯芬酸钠缓释胶囊 50mg*30粒,50mg*30粒,国药准字H10960217,月售1份,,29.8,
564,英太青 双氯芬酸钠缓释胶囊 50mg*20粒/盒,50mg*20粒/盒,国药准字H10960217,月售1份,,25,
565,仁和 布洛芬缓释胶囊 0.3g*22粒,0.3g*22粒,国药准字H20093691,月售19份,评分4,19,
566,泰舒力 尼美舒利分散片  0.1g*6片*2板/盒,0.1g*6片*2板,国药准字H20010734,,,13,
567,万特力 吲哚美辛凝胶 35g,35g,国药准字H20050405,,,66,
568,仁和 双氯芬酸钠气雾剂 30g,30g,国药准字H20056346,,,36.8,
569,芬必得 布洛芬缓释胶囊 0.3g*20粒,0.3g*10s*2板,国药准字H10900089,月售72份,评分3.9,17.5,23.5
570,芬必得 布洛芬缓释胶囊 0.4g*24粒,0.4g*24粒,国药准字H20013062,月售28份,评分4.7,21,33.6
571,仁和 双氯芬酸钠缓释片 0.1gx11片x2板/盒,0.1gx11片x2板,国药准字H20067776,,,33,
572,芬必得 布洛芬咀嚼片 0.2g*10片,0.2g*10片,国药准字H20140018,月售4份,评分4.1,20.23,23.8
573,中大 双氯芬酸钠缓释片(Ⅰ) 0.1g*10片/盒,0.1g*10片/盒,国药准字H20010604,,,14.5,
574,芬必得 布洛芬缓释胶囊 0.3g*24s,0.3g*24s,国药准字H10900089,月售3份,,29.8,
575,扶他林 双氯芬酸钠缓释片 75mg*10片,75mg*10片,国药准字H10980297,,,27.5,
576,【处方药】迪根 双氯芬酸钠缓释片 0.1g*12片,0.1g*12片,国药准字H10970209,月售6份,,8,
577,【处方药】扶他林 双氯芬酸钠肠溶片 25mg*30s,25mg*30s,国药准字H11021640,月售1份,,18.5,
578,【处方药】奇正 青鹏软膏 20g*1支,20g*1,国药准字Z54020140,,,23.5,
579,戴芬 双氯芬酸钠双释放肠溶胶囊 75mg*10粒/盒,75mg*10粒/盒,进口药品注册证号：H20140548,月售3份,,23.8,
580,法斯通 酮洛芬凝胶 50g/支,50g,进口药品注册证号:H20140959,,,45,
581,乐瑞卡 普瑞巴林胶囊 75mg*8粒,75mg*8粒,国药准字H20100102,月售1份,,89,
582,乐瑞卡 普瑞巴林胶囊 150mg*8粒,150MG*8粒,国药准字H20100101,,,179,
583,仁和  盐酸伐昔洛韦片  8片/盒,8片,国药准字H20103021,月售1份,评分4,40,
584,久邦 头孢地尼分散片 0.1g*6片/盒,0.1g*6片/盒,国药准字H20130013,,,49.3,
585,仁和 头孢克肟片 0.1gx8片,0.1gx8片,国药准字H20093161,月售12份,评分4,28,
586,仁和 诺氟沙星胶囊 0.1gx12粒x2板,0.1gx12粒x2板,国药准字H36021062,月售13份,评分4,10.5,
587,仁和 罗红霉素胶囊 75mgx10粒,75mgx10粒,国药准字H20055562,月售7份,,18.5,
588,仁和  盐酸左氧氟沙星胶囊   10粒/盒,10粒,国药准字H20103012,月售7份,评分4,18,
589,仁和 阿奇霉素分散片 0.25gx8片,0.25gx8片,国药准字H20093218,月售3份,,22.5,
590,仁和 克拉霉素胶囊 0.25gx10粒,0.25gX10粒,国药准字H20083442,月售2份,,38,
591,仁和 奥硝唑片 0.25g*16片/盒,0.25g*16片,国药准字H20113125,月售1份,,25,
592,维宏 阿奇霉素分散片 0.25gx6片x2板,0.25gx6片x2板,国药准字H20066358,,评分4,36,
593,世扶尼   头孢地尼胶囊   0.1g*6粒/盒,0.1g*6粒/盒,国药准字H20054035,月售8份,,38,
594,希路信 头孢呋辛酯片 0.25g*12片/盒,0.25g*12片/盒,国药准字H20094023,,,36,
595,可乐必妥 左氧氟沙星片 0.1g*10片/盒,0.1g*10片/盒,国药准字H20000655,月售9份,评分5,40.5,
596,玫满 盐酸米诺环素胶囊 50mgx10粒x2板,50mgx10粒x2板,国药准字H20174080,月售6份,,59,
597,可乐必妥 左氧氟沙星片 0.5g*4片/盒,0.5g*4片/盒,国药准字H20040091,月售1份,,52.8,
598,玫满 盐酸米诺环素胶囊 100mgx10粒x1板,100mgx10粒x1板,国药准字H20174081,月售4份,评分4,53,
599,仁和  头孢克洛分散片  10片/盒,0.125g*10片,国药准字H20041126,月售22份,,17.5,
600,仁和 阿莫西林胶囊 0.25g*10/板*4板/盒,0.25g*10/板*4板/盒,国药准字H34023532,月售24份,评分4.2,22,
601,拜复乐 盐酸莫西沙星片 0.4g*3片/盒,0.4g*3片/盒,国药准字J20150015,,评分5,78,
602,达力新 头孢呋辛酯片 0.125g*12片/盒,0.125g*12片/盒,国药准字,月售2份,,26.8,
603,护佑  氟康唑片  50mg*6片/盒,50mg*6片,国药准字H19990151,月售3份,评分4,23.1,
604,欧意 罗红霉素片 0.15gx12片x2板,0.15gx12片x2板,国药准字H20056309,,,19.8,
605,强力阿莫仙 阿莫西林克拉维酸钾片 0.375g*6粒/盒,0.375g*6粒/盒,国药准字H19994056,月售4份,评分4,14,
606,仁和 罗红霉素分散片 0.15gx8片x2板,0.15gx8片x2板,国药准字H20093868,,,18.5,
607,联邦 阿莫西林胶囊 0.5g*24粒/盒,0.5g*24粒/盒,国药准字H20003263,月售8份,评分4.5,25,
608,亚宝 甲硝唑片 0.2g*21片/袋,0.2g/片,国药准字H14020964,月售9份,,3.9,
609,哈药六 罗红霉素分散片 75mgx12片,75mgx12片,国药准字H19980087,月售5份,,9,
610,达力新 头孢呋辛酯胶囊 0.125g*12粒/盒,0.125g*12粒/盒,国药准字H20000401,月售5份,评分4,15.8,
611,东药 替硝唑片 0.5g*8片/盒,0.5g*8片/盒,国药准字H20033666,月售2份,,12,
612,利君沙 琥乙红霉素片 0.125g*12片/板*2板/盒,0.125g*12片/板*2板/盒,国药准字H61022359,月售1份,评分4,13.8,
613,海王 阿昔洛韦片 100mg*30粒/盒,100mg*30粒,国药准字H44021631,月售3份,,7.8,
614,联邦 阿莫西林胶囊 0.25g*24粒/盒,0.25g*24粒/盒,国药准字H44021351,,,16,
615,达力新 头孢呋辛酯片 0.25g*6片/盒,0.25g*6片/盒,国药准字H20000400,月售4份,评分4,15.8,
616,美莎抒 盐酸特比萘芬片 0.125g*6片/盒,0.125g*6片/盒,国药准字H20103319,,,28.8,
617,欧意 诺氟沙星胶囊 0.1gx12粒x4板,0.1gx12粒x4板,国药准字H13022807,月售2份,评分4,18,
618,凯蕊 乙酰螺旋霉素片 0.1gx12片x2板,0.1gx12片x2板,国药准字H11020337,,,2.8,
619,斯皮仁诺 伊曲康唑胶囊 0.1g*14粒/盒,0.1g*14粒/盒,国药准字H20020367,,,128,
620,康蒂尼  阿昔洛韦片  100mg*24片/盒,100mg*24片,国药准字H19993340,月售2份,,9.8,
621,韦瑞德 富马酸替诺福韦二吡呋酯片 300mg*30片(新旧包装随机发货）,300mg*30片,国药准字H20153090,,,550,
622,联邦制药  阿莫西林克拉维酸钾片 0.457g*6片*2板/盒,0.457g*6片*2板/盒,国药准字H20010772,,,25,
623,来立信 乳酸左氧氟沙星片 0.1g*10片/盒,0.1g*10片/盒,国药准字H10970045,月售2份,,9.5,
624,雅泰 阿昔洛韦片 0.1g*24片,0.1g*24片,国药准字H20059927,,,7.9,
625,扬子江 罗红霉素胶囊 150mgx12粒x1板,150mgx12粒x1板,国药准字H19991023,,,24,
626,彼欣 泛昔洛韦胶囊  0.125g*6粒/盒,0.125g*6粒,国药准字H20020184,月售1份,,15.8,
627,奥复星 氧氟沙星片 0.1g*6片/板*2板/盒,0.1g*6片/板*2板/盒,国药准字H10920030,,,6,
628,松树牌 盐酸环丙沙星片 0.25g*10片/袋,0.25g*10片/袋,国药准字H10910031,,,3.5,
629,联邦 盐酸左氧氟沙星胶囊 0.1g*10粒/盒,0.1g*10粒/盒,国药准字H19990328,月售7份,,12,
630,丽珠威 盐酸伐昔洛韦片 0.3g*6片/盒,0.3g*6片/盒,国药准字H10960079,,,45,
631,迪沙 甲硝唑维B6片 30片/盒,30片/盒,国药准字H37023368,,,18.5,
632,维德思 盐酸伐昔洛韦片 0.5g*10片,0.5g*10片,国药准字H20130416,,,270,
633,天士力 养血清脑颗粒 4g*15袋,4g*15袋,国药准字Z10960082,月售1份,,40.7,
634,亚莫利 格列美脲片 2mg*15片/盒,2mg*15片,国药准字H20057672,,,69,
635,卡博平 阿卡波糖片 50mg*15片/板*2板/盒,50mg*30s,国药准字H20020202,,,48,
636,【处方药】倍他乐克 酒石酸美托洛尔片 25mg*20片,25mg*20片,国药准字H32025391,月售6份,,9.5,
637,安博诺 厄贝沙坦氢氯噻嗪片 7片/盒,7片/盒,国药准字H20080042,月售10份,,14,
638,立普妥 阿托伐他汀钙片 20mg*7片/盒,20mg*7片,国药准字H20051408,,评分4,49,
639,第一三共 奥美沙坦酯片 20mg*7,20mg*7,国药准字H20060371,,,49,
640,立普妥 阿托伐他汀钙片 7片,7片,国药准字H20051407,,,35,
641,【处方药】络活喜 苯磺酸氨氯地平片 5mg*7片,5mg*7片,国药准字H10950224,月售1份,评分4,32,
642,必洛斯 坎地沙坦酯片 8mg*7片,8mg*7片,国药准字H20110008,,,29,
643,安内真 苯磺酸氨氯地平片 5mg*28片,5mg*28片,国药准字H20020390,,,24.5,
644,亚宝 珍菊降压片 60片/盒,60片/盒,国药准字H14023613,,,10.8,
645,可定 瑞舒伐他汀钙片 10mg*7片,10mg*7片,国药准字J20170008(原国药准字J20160025),,,49,
646,万邦  格列美脲片 2mg*24片/盒,2mg*24片,国药准字H20010575,,,36,
647,护佑 硝苯地平缓释片(Ⅰ) 10mgx8片x2板,10mgx8片x2板,国药准字H32026198,,,6.5,
648,倍怡 氯沙坦钾片 50mg*14片/盒,50mg*14片,国药准字Z10950572,,,18,
649,亚宝 复方罗布麻片Ⅰ 100片/瓶,100片/瓶,国药准字H14022937,,,8.5,
650,盐酸二甲双胍片 0.25g*100片/盒,0.25g*100片,国药准字H11020541,,,12.8,
651,武都力 复方盐酸阿米洛利片 24片/盒,24片/盒,国药准字H10900029,,,19.8,
652,阿乐 阿托伐他汀钙片 10mg*7片,10mg*7s,国药准字H19990258,,,22,
653,安达唐 达格列净片 10mg*7片*2板/盒,10mg*7片*2板/盒,国药准字J20170040,月售1份,,79,
654,CNPIC 硝苯地平缓释片(I) 10mg*30片/盒,10mg*30片/盒,国药准字H11022296,,,7.9,
655,倍欣 伏格列波糖片 0.2mg*30片,0.2mg*30片,国药准字H20010308,,,52,
656,中一 消渴丸 30g*1瓶/盒,30g*1瓶/盒,国药准字Z44020045,月售8份,,22,
657,盐酸二甲双胍肠溶片 0.25g*48片/盒,0.25g*48片,国药准字H52020960,月售4份,,10.8,
658,阿乐 阿托伐他汀钙片 20mg*7片,20mg*7片,国药准字H20093819,月售1份,,29,
659,美百乐镇 普伐他汀钠片 20mg*7片,20mg*7片,国药准字H20040101,,,39.8,
660,【处方药】倍他乐克  酒石酸美托洛尔片  50mg*20片,50mg*20片,国药准字H32025390,,,18,
661,达爽 盐酸咪达普利片 5毫克*10粒,5毫克*10粒,国药准字H19990153,,,25,
662,马来酸依那普利片(依苏)  10mg*16片/盒,10mg*16片,国药准字H32026567,,,19.8,
663,齐鲁 卡维地洛片 12.5mgx14片,12.5mgx14片,国药准字H20020547,,,17.9,
664,云鹏 硝苯地平片 10mg*100片/盒,10mg*100片,国药准字H14020798,月售1份,评分4,2.1,
665,现代 马来酸依那普利片 5mg*16片/盒,5mg*16片/盒,国药准字H31021937,,,5.8,
666,银涛 强力定眩胶囊 0.4g*36粒/盒,0.4g*36粒/盒,国药准字Z20090189,,,39.8,
667,[代文]缬沙坦胶囊80mgx7粒x4板,,,,,183,
668,卓邦 盐酸二甲双胍缓释片 0.5g*30片/盒,0.5g*30片/盒,国药准字H20060230,,,12,
669,依伦平 厄贝沙坦氢氯噻嗪片 150mg/12.5mg*30片,150mg/12.5mg*30片,国药准字H20057227,,,45,
670,新托受 瑞舒伐他汀钙片 28片,28片,国药准字H20080670,,,29,
671,吉加 厄贝沙坦片 0.15g*7片/盒,0.15g*7片/盒,国药准字H20000513,月售1份,评分4,9,
672,瑞舒伐他汀钙片 10mg*7片/盒,10mg*7片,国药准字H20113246,,,25,
673,孚来迪 瑞格列奈片 0.5毫克*30片,0.5毫克*30片,国药准字H20000362,,,19.5,
674,双鹤 匹伐他汀钙片 2mg*7片/盒,2mg*7片/盒,国药准字H20080737,,,55,
675,【处方药】仁和 苯磺酸氨氯地平片 5mg*21片,5mg*21片,国药准字H20083949,,,32.5,
676,瑞旨 瑞舒伐他汀钙片 5mg*28片/盒,5mg*28片/盒,国药准字H20080240,,,69,
677,仁和 替米沙坦胶囊 40mg*21粒/盒,40mg*21粒,国药准字H20070134,月售2份,,28,
678,优力平 阿托伐他汀钙片 10mgx7片x2板,10mgx7片x2板,国药准字H20133127,,,35,
679,依伦平 厄贝沙坦氢氯噻嗪片 150mg:12.5mg*7片,150mg,国药准字H20057227,,,18,
680,仁和  硝苯地平缓释片(Ⅱ) 20mg*24片/盒,20mg*24片/盒,国药准字H20073908,,,19.8,
681,仁和 盐酸二甲双胍缓释片 0.5gx24片/盒,0.5gx24片,国药准字H20123024,,,33,
682,安博维  厄贝沙坦片   0.15g*28片/盒,0.15g*28片/盒,国药准字J20130049,,,89,
683,拜新同  硝苯地平控释片 30毫克/片*7片/板/盒,30mg*7片/盒,国药准字J20130115,月售7份,,33.5,
684,百普乐 培哚普利吲达帕胺片 20片,20片,国药准字H20051756,,,88,
685,格华止 盐酸二甲双胍片 0.5g*20片,0.5g*20片,国药准字H20023370,月售3份,,28,
686,【处方药】倍他乐克 琥珀酸美托洛尔缓释片 47.5mg*7片,47.5mg*7片,国药准字J20150044,,,16.8,
687,【处方药】博苏  富马酸比索洛尔片  5mg*10片,5mg*10片,国药准字H10970082,月售3份,,17.9,
688,施慧达 苯磺酸左氨氯地平片 2.5mg*14片,2.5mg*14片/盒,国药准字H19991083,,,29.5,
689,【处方药】安博维 厄贝沙坦片 0.15g*7片,0.15g*7片,国药准字J20171089原国药准字J20130049,,,28.8,
690,康忻 富马酸比索洛尔片 5mg*10片,5mg*10片,国药准字H20100678,,,31.8,
691,络活喜 苯磺酸氨氯地平片 28片/盒,28片/盒,国药准字H10950224,,,98,
692,科素亚 氯沙坦钾片 0.1g*7片/盒,0.1g*7片,国药准字J20130048,,,48,
693,【处方药】科素亚 氯沙坦钾片 50mg*7片,50mg*7片,国药准字J20180054原国药准字J20130148,,,42,
694,仁和 辛伐他汀胶囊 10粒* 2瓶/盒,10粒*2瓶,国药准字H20093998,,,25,
695,格华止 盐酸二甲双胍片 0.85g*20片/盒,0.85g*20片/盒,国药准字H20023371,月售2份,,37.8,
696,同仁堂 牛黄降压丸 1.6g*10粒/盒,1.6g*10粒/盒,国药准字Z11020199,,,11.8,
697,美卡素 替米沙坦片 80mg*7s,80mg*7S,国药准字H20150084,,,39.8,
698,代文 缬沙坦胶囊 80mg*7粒,80mg*7粒,国药准字H20040217,,,38,
699,【处方药】黄海制药 硝苯地平缓释片(Ⅱ) 20mg*30片,20mg*30片,国药准字H10910052,月售1份,,23,
700,力平之 非诺贝特胶囊 200mg*10粒,200mg*10粒,国药准字H20140369,月售1份,,42,
701,【处方药】波依定 非洛地平缓释片 5mg*10片,5mg*10片,国药准字H20030415,,,36.5,
702,可定 瑞舒伐他汀钙片   10mg*28片/盒,10mg*28片,详见说明书,,,148,
703,【处方药】玄宁 马来酸左旋氨氯地平片 2.5mg*7片*2板,2.5mg*7s*2板,国药准字H20030690,月售1份,,38,
704,北大维信 血脂康胶囊 0.3g*12粒/盒,0.3g*12粒/盒,国药准字Z10950029,,,15,
705,益适纯 依折麦布片 10mg*10片/盒,10mg,国药准字H20160181,,,73,
706,【处方药】九芝堂 天麻钩藤颗粒 无蔗糖 5g/袋*12袋/盒,5g/袋*12袋/盒,国药准字Z51021084,,,23.8,
707,石药 复方利血平片 100片,100片,国药准字H13024462,,,6.5,
708,立普妥 阿托伐他汀钙片 20mg*28片,20mg*28片,国药准字H20051408,,,168,
709,阿尔马尔 盐酸阿罗洛尔片 10mg*10片,10mg*10片,国药准字H20110018,,,38,
710,元治 盐酸贝尼地平片 8mgx7片x1板,8mgx7片x1板,国药准字H20184009,,,33.5,
711,【处方药】维尔亚 坎地沙坦酯片  4mg*14片,4mg*14片,国药准字H20030771,,,18,
712,扬子 依帕司他片 50mg*10片/盒,50mg*10片,国药准字H20040012,,,42,
713,欣然 硝苯地平控释片 30mg*6片/盒,30mg*6片/盒,国药准字H20000079,,,16.8,
714,雅施达 培哚普利叔丁胺片 4mg*30片,4mg*30片,国药准字H20034053,月售1份,,98,
715,诺和龙 瑞格列奈片 1mg*30片,1mg*30片,国药准字H20080126,,,59.8,
716,【处方药】欣然 硝苯地平控释片 30mg*12片,30mg*12片,国药准字H20000079,,,29.8,
717,【处方药】波依定 非洛地平缓释片 2.5mg*10片,2.5mg*10片,国药准字H20030414,,,26.5,
718,诺和龙 瑞格列奈片 2mg*30片,2MG*30片,进口药品注册证号H20171160,,,69.8,
719,家能 伏格列波糖分散片 0.2mgx10片x3板,0.2mgx10片x3板,国药准字H20061197,,,42.8,
720,【处方药】0号 复方利血平氨苯蝶啶片 30片,30片,国药准字H11022335,月售2份,,42,
721,尼欣那 苯甲酸阿格列汀片 25mg*10片,25mg*10片,国药准字H20130548,,,95,
722,安立泽 沙格列汀片 5mg*7片/盒,5mg*7片,国药准字J21669,,,58,
723,同仁堂 安宫降压丸 3g*10丸,3g*10丸,国药准字Z11020075,,,25.8,
724,利培 厄贝沙坦氢氯噻嗪分散片 150/12.5mg*7片/盒,150mg/12.5mg*7片,国药准字H20080730,,,9.8,
725,太平洋  尼群地平片  10mg*100片/盒,10mg*100片,国药准字H12020298,,,9.8,
726,瑞易宁 格列吡嗪控释片 5mg*14片,5mg*14片,国药准字H20050083,,,37.5,
727,优力平 阿托伐他汀钙片 20mg*7片,7T*20mg,国药准字H20163270,,,28,
728,力清之 匹伐他汀钙片 7片,7片,国药准字H20080553,,,55,
729,安博诺  厄贝沙坦氢氯噻嗪片 150mg/12.5mg*28片/盒,150MG：12.5MG*28片,国药准字J20130041,,,38,
730,【处方药】贝希 阿卡波糖胶囊 50mg*30粒,50mg*30粒,国药准字H20020391,,,44,
731,仁和  格列齐特缓释片  30mg*36片/盒,30mg*36片,国药准字Z20065489,,,25,
732,尤佳 阿托伐他汀钙胶囊 10mg*7粒,10mg*7粒,国药准字H20051984,,,23,
733,洛汀新 盐酸贝那普利片 10毫克*14片,10毫克*14片,国药准字H20030514,,,43,
734,多达一  氨氯地平阿托伐他汀钙片   5mg/10mg*7片/盒,7片/盒,国药准字J20160017,,,62.2,
735,捷诺达  西格列汀二甲双胍片（II)   50MG:850MG*28片/盒,50MG:850MG*28片/盒,国药准字J20171013,,,158,
736,佑苏 格列美脲片 2mg*10片/盒,2mg*10片/盒,国药准字H20073592,,,16.5,
737,美百乐镇 普伐他汀钠片 40mg*7片,40mg*7片,国药准字H20060271,,,69,
738,来适可 氟伐他汀钠胶囊 40mg*7粒,40mg*7粒,国药准字H20010518,,,31.5,
739,【处方药】托妥 瑞舒伐他汀钙片 10mg*7片,10mg*7片,国药准字H20080670,,,16,
740,达美康 格列齐特片(Ⅱ) 80mg*60片/盒,80MG,国药准字H10910053,,,72,
741,达美康 格列齐特缓释片 30mg*30片,30mg*30片,国药准字H20044694,,,52,
742,【处方药】君力达 盐酸二甲双胍肠溶胶囊 0.5g*12粒*4板,0.5g*12粒*4板,国药准字H20058567,,,32,
743,唯依能 硫辛酸胶囊 0.1g*24粒,0.1g*24粒,国药准字H20100158,,,63,
744,仁和 二甲双胍格列吡嗪片 10片x2板,10片x2板,国药准字H20090082,,,17.2,
745,【3盒装】[代文]缬沙坦胶囊80mgx28粒x3盒,,,,,258,
746,洛汀新 盐酸贝那普利片 5mg*14s,5mg*14s,国药准字H20000292,,,28,
747,皇隆 缬沙坦分散片 80mg*14s/盒,80mg*14s,国药准字H20050508-2,,,16,
748,艾汀 盐酸吡格列酮片 15mg*7片/盒,15mg*7片/盒,国药准字H20040267,,,19.8,
749,扬子江 氯沙坦钾片 50mg*7片,50mg*7片,国药准字H20080371,,,36.5,
750,协和 非洛地平片 5mg*20片/盒,5mg*20片/盒,国药准字H19980034,,,9.9,
751,信立泰 阿利沙坦酯片 240mg*7片/盒,80mg，240mg。,国药准字H20138002,,,49.8,
752,美吡达 格列吡嗪片 5mg*30片/盒,5mg*30片/盒,国药准字H10930076,,,19.8,
753,迪之雅 坎地沙坦酯片 8mg*6片/盒,8mg*6片/盒,国药准字H20050343,,,20.8,
754,德众 枣仁安神胶囊 0.45g*25粒,0.45g*25粒,国药准字Z20010033,,评分4,38.3,
755,同仁堂 安神健脑液 10ml*10支,10ml*10支,国药准字Z11020290,月售1份,,35.7,
756,鲁南 安神补脑液 10ml*20支/盒,10ml*20支,国药准字Z37021354,月售1份,,41.8,
757,弥可保 甲钴胺片 0.5mg×10片/板*2板/盒,0.5mg*20片/盒,国药准字H20030812,月售6份,,32,
758,佐力 乌灵胶囊 0.33克*27粒,0.33克*27粒,国药准字Z19990048,,评分5,37.6,
759,三金 眩晕宁片 0.38g×36片/盒,0.38g×36片/盒,国药准字Z45020605,,评分5,49,
760,希尔安宁 复方枣仁胶囊 0.4g*12粒,0.4G*12粒,国药准字Z50020601,,评分4,31.3,
761,【处方药】同仁堂 天王补心丸 9g*10丸,9g*10丸,国药准字Z11020140,,评分4,25,
762,敖东 脑心舒口服液 10ml*10支/盒,10ml*10支,国药准字Z22025506,月售2份,,12.1,
763,燕峰 复方羊角颗粒 8g*20袋/盒,8g*20袋/盒,国药准字Z13020829,月售2份,,16.8,
764,[神威]解郁安神颗粒(无蔗糖)2gx10袋,,,,,39.8,
765,九芝堂 天王补心丸 120g*1瓶/盒,120g*1瓶/盒,国药准字Z43020151,,,32,
766,康恩贝     甲钴胺片   0.5mg*20片,0.5mg*20片,国药准字H20060921,月售1份,,16.8,
767,[国风]健脑丸100丸,,,,,99,
768,扬子江 百乐眠胶囊 0.27g*24粒（新旧包装随机发货）,0.27g*24s,国药准字Z20020131,,,60,
769,示申宁 解郁安神颗粒 5g*10袋/盒,5g*10袋,国药准字Z22023792,,评分4,33.6,
770,仁和 复方羊角颗粒 8gx8袋,8gX8袋,国药准字Z20054322,月售1份,,29.8,
771,仁和 养血安神片 48片,0.25g*48片/盒,国药准字Z41020210,,,12.4,
772,敖东 安神补脑液 10ml*10支,10ml*10支,国药准字Z22022453,月售4份,评分4.5,21.1,23.7
773,仁和 盐酸氟桂利嗪胶囊 0.005g*24粒,5mg（以氟桂利嗪计）,国药准字H14020844,,,18.5,
774,欢康 刺五加片 0.25*100片,0.25*100片,国药准字Z23020711,,,27.8,
775,仁和 补脑安神片 18片x2板/盒,18片x2板,国药准字Z42021747,月售5份,,26.8,
776,同仁堂 柏子养心丸 60g,60g,国药准字Z11020080,,,22.8,
777,星佳定  甲钴胺片  0.5mg*20片/盒,0.5mg*20片,国药准字H20060865,,,26.3,
778,吉林吉春 安神胶囊 0.25g*24粒/盒,0.25g*24粒,国药准字Z22023722,,评分4,18.9,
779,美多芭 多巴丝肼片 0.25g*40片/盒,0.25g*40片/盒,国药准字H10930198,,,78,
780,999 正天丸 6g*10袋/盒,6g*10袋/盒,国药准字Z44020711,月售2份,,16.3,
781,喜普妙 氢溴酸西酞普兰片 20mg*14片,20mg*14片,国药准字H20120457,,,162,
